,index,Mentions,Bearish,Neutral,Bullish,Total/Compound
57,CLOV,6,0.089,0.703,0.207,0.126
58,MMAT,6,0.075,0.579,0.347,0.368
59,PL,6,0.084,0.789,0.127,0.046
60,ONE,6,0.101,0.773,0.125,0.12
61,MSFT,6,0.017,0.76,0.223,0.376
62,FOMC,6,0.0,1.0,0.0,0.0
63,TTCF,6,0.157,0.696,0.148,-0.134
64,ME,6,0.046,0.637,0.317,0.415
65,DTE,6,0.111,0.624,0.265,0.265
66,BYND,5,0.16,0.79,0.05,-0.141
67,TD,5,0.057,0.824,0.119,0.103
68,DWAC,5,0.018,0.945,0.036,0.127
69,SI,5,0.025,0.898,0.077,0.042
70,RH,5,0.097,0.772,0.132,0.259
71,SEAC,5,0.045,0.885,0.069,0.061
72,CLNE,5,0.198,0.802,0.0,-0.318
73,DM,5,0.201,0.636,0.163,-0.061
74,MA,5,0.095,0.784,0.121,-0.05
75,RKT,5,0.24,0.546,0.215,-0.207
76,ING,5,0.074,0.826,0.099,0.145
77,BBIG,5,0.0,0.93,0.07,0.115
78,PLUG,5,0.0,0.851,0.149,0.149
79,JAN,5,0.078,0.742,0.179,0.441
80,GAIN,5,0.043,0.425,0.532,0.678
81,RIVN,5,0.227,0.689,0.083,-0.239
82,BIG,5,0.077,0.765,0.158,0.059
83,CVM,5,0.156,0.516,0.328,0.34
84,ORC,5,0.057,0.892,0.051,0.178
85,SNDL,5,0.09,0.826,0.083,0.042
86,SOL,5,0.0,1.0,0.0,0.0
87,NVAX,5,0.0,0.526,0.474,0.652
88,BLUE,4,0.099,0.901,0.0,-0.247
89,VIAC,4,0.078,0.792,0.13,0.153
